2016/05/11 16:52:59 INFO  - jmeter.util.JMeterUtils: Setting Locale to pt_PT 
2016/05/11 16:53:00 ERROR - jmeter.util.JMeterUtils: Could not find resources for 'pt_PT' 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: Loading user properties from: /home/samuel/Transferências/apache-jmeter-2.13/bin/user.properties 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: Loading system properties from: /home/samuel/Transferências/apache-jmeter-2.13/bin/system.properties 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: Copyright (c) 1998-2015 The Apache Software Foundation 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: Version 2.13 r1665067 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: java.version=1.8.0_77 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: os.name=Linux 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: os.arch=amd64 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: os.version=3.19.0-58-generic 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: Default Locale=português (Portugal) 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: JMeter  Locale=português (Portugal) 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: JMeterHome=/home/samuel/Transferências/apache-jmeter-2.13 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: user.dir  =/home/samuel/Documentos/CVN/CloudPrime/CloudPrime/LoadBalancer 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: PWD       =/home/samuel/Documentos/CVN/CloudPrime/CloudPrime/LoadBalancer 
2016/05/11 16:53:00 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: samuel-VirtualBox FullName: samuel-VirtualBox 
2016/05/11 16:53:02 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2016/05/11 16:53:02 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2016/05/11 16:53:05 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/05/11 16:53:05 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/05/11 16:53:06 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2016/05/11 16:53:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2016/05/11 16:53:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2016/05/11 16:53:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2016/05/11 16:53:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2016/05/11 16:53:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2016/05/11 16:53:07 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/05/11 16:53:07 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2016/05/11 16:53:07 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2016/05/11 16:53:07 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2016/05/11 16:53:07 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /home/samuel/Transferências/apache-jmeter-2.13/bin/proxyserver.jks 
2016/05/11 16:53:07 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2016/05/11 16:53:07 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2016/05/11 16:53:07 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2016/05/11 16:53:07 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2016/05/11 16:53:33 INFO  - jmeter.services.FileServer: Default base='/home/samuel/Documentos/CVN/CloudPrime/CloudPrime/LoadBalancer' 
2016/05/11 16:53:33 INFO  - jmeter.gui.action.Load: Loading file: /home/samuel/Transferências/CNV-checkpoint-test-v1.jmx 
2016/05/11 16:53:33 INFO  - jmeter.services.FileServer: Set new base='/home/samuel/Transferências' 
2016/05/11 16:53:33 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2016/05/11 16:53:33 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2016/05/11 16:53:33 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1656252 
2016/05/11 16:53:33 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.8 
2016/05/11 16:53:33 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2016/05/11 16:53:33 INFO  - jmeter.save.SaveService: Loading file: /home/samuel/Transferências/CNV-checkpoint-test-v1.jmx 
2016/05/11 16:53:33 INFO  - jmeter.services.FileServer: Set new base='/home/samuel/Transferências' 
2016/05/11 16:53:40 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2016/05/11 16:53:40 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2016/05/11 16:53:40 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
